handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_e9e2d84f-175c-daa0-dce0-d862d1c5f092,Product,KABLO BAĞI 4.8 MM x 25 CM SİYAH - 100 ADET,<p>KABLO BAĞI 4.8 MM x 25 CM SİYAH - 100 ADET</p>,01f459_5f8943910bf64fd182105b5fb9beb9c2~mv2.jpg,Kablo Bağları,RCW KB-013,Yeni Ürün,88.65,,true,PERCENT,0.0,16600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_6b6ae081-7947-121b-1366-41c5c662efc4,Product,KABLO BAĞI 4.8MM x 20 CM BEYAZ - 100 ADET,<p>KABLO BAĞI 4.8MM x 20 CM BEYAZ - 100 ADET</p>,01f459_f674cb4fc34e4b42b3caf34d818db8c9~mv2.jpg,Kablo Bağları,RCW KB-012,Yeni Ürün,82.8,,true,PERCENT,0.0,29500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_4acbae70-8d9f-e885-5d6c-5376ec50953d,Product,KABLO BAĞI 4.8MM x 20 Cm SİYAH - 100 ADET,<p>KABLO BAĞI 4.8MM x 20 Cm SİYAH - 100 ADET</p>,01f459_a62f06cd64fd410fb5b0dfc2ca6680e5~mv2.jpg,Kablo Bağları,RCW KB-011,Yeni Ürün,82.8,,true,PERCENT,0.0,23500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_50d908b3-fff1-2483-6548-788645647b6f,Product,KABLO BAĞI 3.6MM x 30 CM BEYAZ - 100 ADET,<p>KABLO BAĞI 3.6MM x 30 CM BEYAZ - 100 ADET</p>,01f459_40e63ad4f6854769ae1115cf12fd83d3~mv2.jpg,Kablo Bağları,RCW KB-010,Yeni Ürün,122.0,,true,PERCENT,0.0,20100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_dbbfcdcd-a538-2fe5-e519-1499e14363dd,Product,KABLO BAĞI 3.6MM x 30 CM SİYAH - 100 ADET,<p>KABLO BAĞI 3.6MM x 30 CM SİYAH - 100 ADET</p>,01f459_a79a4276fbe84cbb970bcd3b010b0c52~mv2.jpg,Kablo Bağları,RCW KB-009,Yeni Ürün,122.0,,true,PERCENT,0.0,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_c1075548-35f7-bbde-ec4e-6f11cd0effa1,Product,KABLO BAĞI 3.6MM x 25 CM BEYAZ - 100 ADET,<p>KABLO BAĞI 3.6MM x 25 CM BEYAZ - 100 ADET</p>,01f459_d0ab977078cb4f43b98f11a3dc421615~mv2.jpg,Kablo Bağları,RCW KB-008,Yeni Ürün,95.3,,true,PERCENT,0.0,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_6737b905-f0f7-0f83-a513-331087bf4521,Product,KABLO BAĞI 3.6MM x 25 CM SİYAH - 100 ADET,<p>KABLO BAĞI 3.6MM x 25 CM SİYAH - 100 ADET</p>,01f459_d2c5e17f98cf46bd8171613ab05b171f~mv2.jpg,Kablo Bağları,RCW KB-007,Yeni Ürün,95.3,,true,PERCENT,0.0,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_fa8906a0-557c-2289-30ed-e2af4fa805ca,Product,KABLO BAĞI 3.6MM x 20 CM BEYAZ - 100 ADET,<p>KABLO BAĞI 3.6MM x 20 CM BEYAZ - 100 ADET</p>,01f459_1a5dcf0d39bc469d926ff8aeab81d80c~mv2.jpg,Kablo Bağları,RCW KB-006,Yeni Ürün,79.45,,true,PERCENT,0.0,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_7004dfd6-021a-0373-8ce5-609038e34447,Product,KABLO BAĞI 3.6MM x 20 CM SİYAH - 100 ADET,<p>KABLO BAĞI 3.6MM x 20 CM SİYAH - 100 ADET</p>,01f459_f55333b98a8943deafd24fff3732cbff~mv2.jpg,Kablo Bağları,RCW KB-005,Yeni Ürün,79.45,,true,PERCENT,0.0,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
product_7071663f-b431-d4be-6e4c-16f71c407ec8,Product,KABLO BAĞI 3.6MM x 15CM BEYAZ - 100 ADET,<p>KABLO BAĞI 3.6MM x 15CM BEYAZ - 100 ADET</p>,01f459_458f8d853efd460ca4d68d68cd47e48a~mv2.jpg,Kablo Bağları,RCW KB-004,Yeni Ürün,62.85,,true,PERCENT,0.0,14300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKSWELL
